OTU ID	S31	S1	S42	S13_T2	S30	S50	S43	S20	S29	S47U	S26	S13_T3	S33	S8L	S23	S10R	S49	S14L	S11	S8R	S22	S38U	S47I	S37	S19	S24	S13_T1	S46	S14R	S3	S27	S44	S10L	S28	S10	S39	S9	S25	S5	S45	S48	S16	S6	S18	S12	S2	S36	S34	S17	S4	S15	S40	S38I	S32	S41	S7	S35	S21	taxonomy
75	1	4	2	40	0	3	0	0	0	0	1	0	3	34	2	9	0	2	1	164	1	0	0	0	0	0	4	1	0	278	2	1	87	0	46	6	250	1	29	6	0	1	9	0	72	1637	1	19	1	48	3	1	5	3	2	255	0	71	Bacteria;unclassified;unclassified;unclassified;unclassified;unclassified;|93
76	5	153	11	8	4	1	88	8	12	10	1	14	5	24	44	12	223	1	10	2	280	24	6	9	9	13	62	70	4	18	3	364	6	7	9	3	10	1	12	61	38	86	1	513	34	98	27	8	26	16	4	7	1	10	174	1	6	48	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;|93
77	0	0	1	10	0	0	0	0	0	0	0	0	5	0	0	0	0	11	0	0	7	0	0	0	0	0	11	0	0	9	0	4	16	0	0	0	0	0	0	3	0	0	0	0	3468	10	0	22	11	0	9	0	0	0	0	0	0	9	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;|86
78	0	5	0	6	51	1	29	1	1	2	0	2	0	293	3	6	67	1	0	224	0	1	0	0	0	3	4	2	1	1	1	19	1	2	2	11	8	1	57	58	0	2	7	64	0	4	16	85	2	1394	2	0	2	0	3	136	2	2	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;|98
82	0	2	1	2	1	5	0	0	2	1	0	5	0	91	0	3	9	0	8	69	0	5	1	0	1	0	6	2	5	0	13	2	0	29	5	10	0	0	2	0	0	1687	2	9	0	1	0	0	0	183	7	1	0	0	7	0	0	0	Bacteria;Firmicutes;unclassified;unclassified;unclassified;unclassified;|94
89	1	1	117	1	0	0	1	2	3	28	0	0	5	58	9	114	2	1	30	28	1	26	1	0	9	26	2	40	29	5	522	28	1	1	46	4	70	2	100	23	23	2	3	1	105	93	4	22	44	86	3	2	0	12	0	1	1	320	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;|97
92	2	84	22	0	3	1	0	6	6	1	661	2	1	4	2	1	2	6	2	8	3	3	2	2	54	2	1	1	3	0	10	0	54	2	1	6	154	5	0	0	1	122	5	1	3	101	0	0	2	1	333	168	5	0	1	54	2	1	Bacteria;Actinobacteria;Actinobacteria;unclassified;unclassified;unclassified;|97
94	0	3	2	1	3	44	1	4	3	90	377	1	0	0	1	0	0	1	351	1	0	0	63	0	422	107	2	0	1	0	142	0	4	2	0	4	1	8	1	0	1	3	5	2	0	0	4	0	0	0	130	0	10	9	0	2	0	2	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia;|100
97	0	0	24	3	6	4	3	2	0	1345	26	3	0	0	25	2	1	3	0	2	1	0	0	0	32	3	1	39	21	13	0	70	0	16	1	0	1	0	24	3	5	25	0	0	39	0	7	0	75	77	0	1	0	1	1	0	4	19	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;|96
102	0	2	2	1	0	0	0	0	2	0	1	1	1	0	0	8	0	1	0	51	2	1	0	0	0	0	3	1	1	198	6	6	0	18	1	3	147	1	19	2	0	5	8	0	3	1210	0	11	0	2	2	0	0	0	0	88	0	3	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;|97
105	0	8	0	4	0	0	0	0	1	1	0	0	0	20	4	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	4	0	0	0	1426	0	0	0	0	0	0	1	36	0	0	41	0	0	0	0	0	16	4	0	Bacteria;Proteobacteria;Gammaproteobacteria;unclassified;unclassified;unclassified;|99
108	0	2	113	0	4	0	0	0	12	0	1	0	0	0	0	7	0	7	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	5	0	0	4	6	8	0	0	5	6	4	1349	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum;|100
109	9	5	11	3	35	122	19	6	18	7	0	3	2	1	388	21	55	1	7	1	74	36	5	0	10	3	1	366	94	2	5	5	3	133	8	28	4	3	7	44	71	31	0	20	4	0	5	1	347	9	2	20	8	35	53	58	16	1	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Aneurinibacillus;|99
119	2	4	1	1	0	0	3	2	0	0	0	0	1	1	0	0	0	17	1	21	0	0	0	0	6	0	0	0	0	1	0	0	1064	0	0	1	6	0	0	0	0	0	0	0	6	0	0	51	1	1	2	0	1	28	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Dickeya;|74
126	1	2	2	7	0	2	0	2	43	3	0	64	1	0	28	3	175	0	4	1	17	43	2	0	0	8	2	51	2	2	2	1	0	10	1	9	0	1	15	11	26	44	2	175	1	1	94	3	0	19	0	60	2	2	29	0	5	3	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;unclassified;|77
129	1	0	4	85	1	0	0	0	0	8	72	30	41	236	0	0	36	58	0	1	2	20	10	2	0	1	64	31	13	3	2	15	0	1	2	5	2	1	65	0	0	48	1	4	1	1	4	1	0	81	26	0	2	1	0	45	1	1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;|94
147	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	757	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	0	15	0	3	0	0	0	0	3	0	3	0	0	0	5	0	4	0	3	0	0	2	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Peptoniphilus;|99
148	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	2	1	0	0	0	0	0	0	0	179	0	0	0	0	0	3	0	0	0	2	0	1	2	0	0	575	0	10	1	0	0	0	0	0	0	0	0	3	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Atopobium;|98
168	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	5	0	4	0	0	0	0	0	1	1	0	0	0	0	0	1	0	539	0	0	0	0	2	0	0	0	0	0	13	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;unclassified;|71
190	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	2	0	0	0	390	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	2	3	0	1	0	0	1	6	0	0	3	0	0	0	2	24	0	0	0	0	1	0	0	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;|98
230	0	0	6	2	0	0	3	4	0	273	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	16	0	0	0	0	0	0	1	3	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	2	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;|73
271	0	0	0	0	0	0	1	0	0	294	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;unclassified;unclassified;|72
316	0	0	0	2	0	0	1	0	0	167	0	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	1	1	0	2	0	0	0	1	0	0	44	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;unclassified;unclassified;unclassified;|88
869	20	23	11	0	0	0	14	16	0	0	0	1	0	0	0	0	0	0	21	0	1	0	0	0	23	0	1	0	0	0	0	0	21	1	0	27	42	0	0	0	0	0	2	0	0	0	44	38	0	0	0	0	53	8608	48	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;unclassified;unclassified;unclassified;|91
1477	0	0	4	0	0	0	1	0	34	8	0	5	2	5	204	1	1	0	14	3	0	1	1	0	1	0	7	2	5	0	6	423	0	1	0	6	1	3	2	4	0	1008	559	2	53	7	0	3	0	3	25	0	1	0	0	2	0	2	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;|100
2363	0	0	0	2	1	0	0	0	4	0	0	0	0	0	0	8	0	319	0	1	0	0	1	0	0	0	18	0	0	0	0	0	2	0	4	3	0	1	0	0	0	0	0	5	2	1	2	6	11	0	1	1	12	5	1527	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;|91
4301	27	362	220	159	172	47	157	22	190	104	137	144	264	104	168	363	65	159	233	306	194	63	61	56	303	33	123	80	123	324	241	142	156	76	194	63	487	207	346	121	66	127	382	172	174	268	17	163	58	341	115	96	86	100	210	318	71	97	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;|100
4769	30	41	7389	68	149	24	607	33	22	22	1326	25	81	29	84	19	205	11	52	87	58	4	62	6	204	18	44	63	5	167	1	86	33	5	13	22	67	16	45	116	36	65	11	520	54	9	42	79	71	31	24	108	6	68	346	8	620	17	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;|74
4956	1	11	0	6	0	1	1	1	1	8	0	0	0	5	20	4	2	10	1	9	0	2	1	0	6	0	0	0	0	5	11	1	17	9	38	9	642	0	0	0	0	6	44	2	7	5	1	0	11	1	1427	2	0	1	2	4	0	3	Bacteria;Firmicutes;Bacilli;Lactobacillales;unclassified;unclassified;|77
4965	2	0	72	0	0	0	0	1	0	0	4	0	2	27	0	10	0	2	0	10	0	0	6	2	0	0	0	0	3	0	1	0	0	0	1	0	16	12	0	0	2	0	2849	1	0	8	0	0	1	3	0	107	12	0	1	5	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Finegoldia;|92
5621	36	131	1022	80	274	41	373	72	254	129	417	16	101	25	1777	61	325	93	323	47	614	5	106	110	273	66	77	401	182	34	156	538	113	246	113	179	141	62	10	310	247	211	11	356	51	140	67	263	1032	17	97	130	116	124	384	106	92	464	Bacteria;Proteobacteria;Gammaproteobacteria;unclassified;unclassified;unclassified;|92
5872	1	4	6	0	1	0	3	4	2	7	1	3	1	3	14	5	5	18	7	5	3	5	0	1	6	0	2	0	4	2	6	1	5	5	0	9	899	0	3	2	6	833	78	9	152	7	4	2	9	8	8	0	2	9	198	7	2	0	Bacteria;Firmicutes;unclassified;unclassified;unclassified;unclassified;|91
5926	1	3	2	0	0	0	1	3	0	0	0	0	0	0	0	5	0	0	2	2	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	1304	0	0	0	0	0	4	0	0	3	0	0	0	2	0	0	0	2	0	0	0	0	Bacteria;unclassified;unclassified;unclassified;unclassified;unclassified;|78
5977	28	241	1455	35	24	11	35	14	112	297	9	9	28	10	138	98	17	96	192	340	4	6	45	7	222	5	12	13	84	61	21	44	87	0	140	28	120	11	392	103	21	43	1370	322	457	334	32	42	2061	20	31	786	45	91	3323	74	37	41	Bacteria;Firmicutes;Bacilli;Bacillales;unclassified;unclassified;|74
6159	0	2	88	2	0	1	2	0	2	0	4	3	0	69	2	15	2	14	2	154	0	2	24	12	4	1	1	3	15	1	0	1	127	1	159	1	24	27	106	0	5	2	2974	3	1	13	1	1	1	267	1	0	20	4	2	56	2	0	Bacteria;Firmicutes;Bacilli;Bacillales;unclassified;unclassified;|74
6214	33	53	4637	1	6	0	18	11	25	0	3	1	9	13	37	18	24	5	37	1	0	0	26	0	130	1	5	15	37	29	4	42	39	2	15	0	29	4	5	5	0	13	21	16	1	2	1	4	10	2	1	41	0	48	22	5	12	8	Bacteria;Firmicutes;Bacilli;Bacillales;unclassified;unclassified;|81
6274	6	480	201	21	205	1	11	5	192	5	4	32	124	9	3	415	32	17	6	85	254	80	6	58	339	20	10	129	2	463	8	162	338	44	396	126	447	4	25	171	38	1	174	332	320	349	7	69	28	33	26	175	32	37	72	451	57	302	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;|70
6321	0	1	14	31	0	0	23	0	0	3	2	3	0	0	12	0	10	0	1	0	0	0	10	0	1	1	1	2533	0	33	0	11	0	0	1	1	51	0	24	22	4	1	42	0	66	1	57	1	0	12	1	0	2	0	0	0	9	0	Bacteria;Proteobacteria;Gammaproteobacteria;unclassified;unclassified;unclassified;|99
6354	3	87	4	50	0	1	13	5	6	2	0	3	1	0	138	61	2	2	54	2	3	0	0	3	1094	0	66	1	2	4	9	15	244	0	3	2	66	7	223	658	4	0	346	4	2	8	3	4	0	93	84	0	2	14	0	2	2	7	Bacteria;Actinobacteria;Actinobacteria;unclassified;unclassified;unclassified;|89
6422	28	50	144	13	6	5	21	14	32	14	3	10	5	7	111	65	5	167	46	44	25	34	7	0	84	2	16	6	19	6	11	10	89	30	12	17	11387	5	30	2	12	1742	641	137	1579	63	23	56	32	91	48	7	23	97	2457	87	43	21	Bacteria;Firmicutes;Bacilli;unclassified;unclassified;unclassified;|88
6686	30	48	4100	11	10	1	123	23	22	4	804	4	12	4	43	18	15	30	39	5	10	0	46	2	199	4	2	17	43	41	6	53	44	1	19	4	39	8	9	7	5	28	30	42	5	2	3	2	40	3	2	35	5	29	159	20	135	12	Bacteria;Firmicutes;Bacilli;Bacillales;unclassified;unclassified;|77
6719	8	13	3774	0	1	0	7	4	5	0	0	0	0	0	0	4	9	0	15	0	0	0	20	0	40	0	0	8	0	0	0	12	12	0	3	0	31	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	19	4	0	0	0	Bacteria;Firmicutes;unclassified;unclassified;unclassified;unclassified;|73
6839	10	15	36	1	0	0	8	6	0	0	0	0	1	141	32	12	1	0	20	76	0	1	0	0	20	0	0	0	0	1	3	0	8	0	0	3	3939	2	0	0	0	2	18	0	5	9	0	0	0	10	2	0	0	24	0	0	0	4	Bacteria;Firmicutes;Bacilli;unclassified;unclassified;unclassified;|70
6895	7	78	0	16	33	0	0	2	0	5	0	6	9	1	11	5	1	0	2	0	1	5	1	8	0	5	2	10	16	0	0	0	15	0	0	1	89	1	11	1	0	0	68	19	1	211	32	2	30	18	0	7	1	0	2	62	2288	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;|76
7003	413	965	700	2	2	2	455	864	7	1	5	1	0	5	46	5	8	3	869	2	4	0	1	3	1861	1	6	2	5	2	8	5	1167	2	6	11	1423	10	18	2	5	76	6	272	3	2	22	14	7	7	2	4	29	6359	22	4	0	9	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;unclassified;|87
7143	4	8	5	0	0	0	3	4	1	0	0	0	0	0	1	0	0	1	4	0	0	0	1	0	7	0	0	0	0	0	0	0	7	0	0	12	8	0	0	0	2	0	1	0	0	0	61	17	0	2	0	0	126	2013	16	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;|84
7152	291	590	6008	240	49	106	557	80	830	80	861	79	1118	33	5733	1198	74	2147	207	68	160	64	98	59	9222	27	230	156	130	90	1894	1931	2153	111	497	55	675	159	55	320	226	3539	3287	640	421	504	79	175	2446	96	220	6226	36	228	179	272	81	2013	Bacteria;Firmicutes;Bacilli;Bacillales;unclassified;unclassified;|91
7187	92	1647	196	287	10	4	20	163	154	28	84	198	76	17	6626	48	20	89	159	19	22	19	66	67	3334	15	140	82	5669	74	180	714	86	9	53	9	410	196	321	148	29	227	973	104	144	58	60	101	51	62	98	1596	58	76	83	705	97	653	Bacteria;Firmicutes;Bacilli;unclassified;unclassified;unclassified;|71
